,CS textfield,BB textfield,Stack,Head angle,Head tube length textfield,Seat stay junction0,Seat tube length,Seat angle,DT Length,BB diameter,ttd,dtd,csd,ssd,Chain stay position on BB,SSTopZOFFSET,Head tube upper extension2,Seat tube extension2,Head tube lower extension2,SEATSTAYbrdgshift,CHAINSTAYbrdgshift,SEATSTAYbrdgdia1,CHAINSTAYbrdgdia1,SEATSTAYbrdgCheck,CHAINSTAYbrdgCheck,Dropout spacing,Wall thickness Bottom Bracket,Wall thickness Top tube,Wall thickness Head tube,Wall thickness Down tube,Wall thickness Chain stay,Wall thickness Seat stay,Wall thickness Seat tube,ERD rear,Wheel width rear,BSD front,Wheel width front,ERD front,BSD rear,Display AEROBARS,BB length,Head tube diameter,Wheel cut,Seat tube diameter,Front Fender include,Rear Fender include,Number of cogs,Number of chainrings,Display RACK,FIRST color R_RGB,FIRST color G_RGB,FIRST color B_RGB,SPOKES composite front,SBLADEW front,SBLADEW rear,Saddle length,Saddle height,Down tube diameter,Seatpost LENGTH,MATERIAL OHCLASS: ALUMINIUM,MATERIAL OHCLASS: BAMBOO,MATERIAL OHCLASS: CARBON,MATERIAL OHCLASS: OTHER,MATERIAL OHCLASS: STEEL,MATERIAL OHCLASS: TITANIUM,Dropout spacing style OHCLASS: 0,Dropout spacing style OHCLASS: 1,Dropout spacing style OHCLASS: 2,Dropout spacing style OHCLASS: 3,Fork type OHCLASS: 0,Fork type OHCLASS: 1,Fork type OHCLASS: 2,Stem kind OHCLASS: 0,Stem kind OHCLASS: 1,Stem kind OHCLASS: 2,Handlebar style OHCLASS: 0,Handlebar style OHCLASS: 1,Handlebar style OHCLASS: 2,Head tube type OHCLASS: 0,Head tube type OHCLASS: 1,Head tube type OHCLASS: 2,Head tube type OHCLASS: 3,Top tube type OHCLASS: 0,Top tube type OHCLASS: 1,bottle SEATTUBE0 show OHCLASS: False,bottle SEATTUBE0 show OHCLASS: True,bottle DOWNTUBE0 show OHCLASS: False,bottle DOWNTUBE0 show OHCLASS: True,BELTorCHAIN OHCLASS: 0,BELTorCHAIN OHCLASS: 1,RIM_STYLE front OHCLASS: DISC,RIM_STYLE front OHCLASS: SPOKED,RIM_STYLE front OHCLASS: TRISPOKE,RIM_STYLE rear OHCLASS: DISC,RIM_STYLE rear OHCLASS: SPOKED,RIM_STYLE rear OHCLASS: TRISPOKE
11,480.0,105.0,565.6,75.0,103.8,55.0,562.0,75.0,713.4257454403127,33.0,29.200000000000003,34.0,22.2,22.2,14.0,25.0,33.6,43.4,43.7,330.0,350.0,16.0,18.0,0.0,0.0,135.0,2,0.9,1.1,0.9,1.2,1.0,0.9,550.0,93.0,559.0,93.0,550.0,559.0,0.0,68.0,33.0,692.0,27.5,0.0,0.0,0,0,0.0,0,0,0,1,80.0,80.0,278.0,785.0,33.0,400,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
12,444.0,57.5,565.6,71.0,105.4,55.0,457.0,73.0,673.7233493814869,40.0,30.15,36.5,22.0,17.0,15.0,8.0,24.2,70.9,50.0,330.0,350.0,16.0,18.0,0.0,0.0,135.0,2,0.9,1.1,0.9,1.2,1.0,0.9,582.0,57.0,622.0,57.0,582.0,622.0,0.0,68.0,50.0,692.0,31.8,0.0,0.0,8,0,0.0,153,153,153,1,80.0,80.0,298.0,830.0,40.0,300,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
13,430.0,67.0,565.6,73.0,150.2,45.0,588.7,72.5,658.441903667924,40.0,32.5,38.45,23.35,13.0,15.0,7.0,50.0,28.7,50.0,330.0,350.0,16.0,18.0,0.0,0.0,130.0,2,0.9,1.1,0.9,1.2,1.0,0.9,600.0,35.0,622.0,35.0,600.0,622.0,0.0,68.0,45.0,692.0,34.0,0.0,0.0,9,1,0.0,153,0,0,1,80.0,80.0,298.0,768.0,34.9,300,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
14,409.43,72.0,565.6,72.5,167.7,45.0,610.0,73.5,672.0915135045531,40.0,28.6,51.05,23.35,13.0,15.0,7.0,33.2,28.6,51.2,330.0,350.0,16.0,18.0,0.0,0.0,130.0,2,0.9,1.1,0.9,1.2,1.0,0.9,582.0,23.0,622.0,23.0,582.0,622.0,0.0,68.0,45.0,692.0,33.4,0.0,0.0,9,1,0.0,0,0,0,1,80.0,80.0,298.0,807.0,34.9,300,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
15,387.57,50.0,565.6,72.0,49.0,40.0,480.0,73.5,584.5843210912171,38.1,25.4,34.0,17.35,10.5,15.0,10.6,28.5,19.0,35.0,330.0,350.0,16.0,18.0,0.0,0.0,130.0,2,0.9,1.1,0.9,1.2,1.0,0.9,590.0,23.0,600.0,23.0,590.0,600.0,0.0,68.0,28.6,692.0,28.6,0.0,0.0,9,1,0.0,102,0,0,1,80.0,80.0,298.0,605.0,28.6,140,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
16,425.0,20.0,565.6,67.99999999999991,136.0,45.0,480.0,72.0,658.2061294403003,30.0,27.700000000000003,36.5,23.35,18.5,15.0,11.2,40.0,50.0,40.0,330.0,350.0,16.0,18.0,0.0,0.0,135.0,2,0.9,1.1,0.9,1.2,1.0,0.9,519.0,55.8,559.0,55.8,519.0,559.0,0.0,100.0,40.0,692.0,30.0,0.0,0.0,8,1,0.0,204,204,204,1,80.0,80.0,278.0,755.0,30.0,300,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
17,355.0,25.0,565.6,75.0,139.4,45.0,482.8,74.0,620.9706224563203,38.1,25.4,34.0,18.75,13.0,14.0,25.0,32.5,37.8,32.9,330.0,350.0,16.0,18.0,0.0,0.0,120.0,2,0.9,1.1,0.9,1.2,1.0,0.9,519.0,49.5,559.0,49.5,519.0,559.0,0.0,68.0,33.0,692.0,28.6,0.0,0.0,0,0,0.0,0,0,0,1,80.0,80.0,278.0,733.0,28.6,270,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
18,450.0,55.0,565.6,70.5,111.0,45.0,482.6,74.5,706.26485867911,40.0,29.200000000000003,36.5,22.0,17.0,15.0,8.0,26.8,50.4,50.9,330.0,350.0,16.0,18.0,0.0,0.0,135.0,2,0.9,1.1,0.9,1.2,1.0,0.9,519.0,55.8,559.0,55.8,519.0,559.0,0.0,68.0,45.0,692.0,31.8,0.0,0.0,6,2,0.0,102,102,0,1,80.0,80.0,278.0,718.0,40.0,330,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
19,400.0,70.5,565.6,75.0,125.0,380.0,690.0,75.0,669.656286963413,90.0,27.5,36.5,46.0,13.0,15.0,7.0,20.1,265.0,44.2,330.0,350.0,16.0,18.0,0.0,0.0,130.0,2,0.9,1.1,0.9,1.2,1.0,0.9,582.0,21.0,622.0,23.0,582.0,622.0,0.0,68.0,55.0,692.0,31.8,0.0,0.0,9,1,0.0,255,255,255,1,80.0,80.0,298.0,724.0,34.9,300,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
20,355.0,14.0,565.6,75.0,143.1,380.0,482.8,74.0,613.4347816059487,38.1,25.4,34.0,18.75,13.0,14.0,25.0,32.5,37.8,32.8,330.0,350.0,16.0,18.0,0.0,0.0,120.0,2,0.9,1.1,0.9,1.2,1.0,0.9,519.0,38.1,559.0,38.0,519.0,559.0,0.0,68.0,33.0,692.0,28.6,0.0,0.0,0,0,0.0,0,0,0,1,80.0,80.0,278.0,733.0,28.6,270,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
21,442.44,77.0,565.6,71.5,200.0,65.0,640.8,73.0,650.5067586957591,38.1,27.0,34.0,21.25,10.9,16.0,10.6,39.9,40.8,43.4,330.0,350.0,16.0,18.0,0.0,0.0,130.0,2,0.9,1.1,0.9,1.2,1.0,0.9,582.0,35.0,622.0,35.0,582.0,622.0,0.0,68.0,31.8,692.0,28.6,0.0,0.0,9,0,1.0,0,153,153,1,80.0,80.0,278.0,712.0,31.8,300,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
22,422.0,50.0,565.6,73.0,150.0,65.0,530.0,74.5,717.4340571146448,50.0,30.15,36.5,22.0,17.0,15.0,8.0,27.0,60.6,45.8,330.0,350.0,16.0,18.0,0.0,0.0,135.0,2,0.9,1.1,0.9,1.2,1.0,0.9,582.0,55.8,622.0,55.8,582.0,622.0,0.0,68.0,45.0,692.0,31.8,0.0,0.0,0,0,0.0,153,153,153,1,80.0,80.0,278.0,776.0,35.0,300,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
23,410.0,-10.0,565.6,74.0,127.2,65.0,490.5,74.0,646.7846029638838,39.0,25.4,34.0,18.75,13.0,14.0,25.0,36.1,40.5,49.8,330.0,350.0,16.0,18.0,0.0,0.0,120.0,2,0.9,1.1,0.9,1.2,1.0,0.9,519.0,55.0,559.0,60.0,519.0,559.0,0.0,68.0,33.0,692.0,25.4,0.0,0.0,0,0,0.0,0,0,0,1,80.0,80.0,210.0,600.0,28.6,270,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
24,405.0,73.0,565.6,72.0,126.4,77.0,465.0,74.0,650.6593070092218,40.0,28.6,44.3,26.5,13.0,15.0,7.0,35.4,54.9,59.1,330.0,350.0,16.0,18.0,0.0,0.0,130.0,2,0.9,1.1,0.9,1.2,1.0,0.9,582.0,23.0,622.0,23.0,582.0,622.0,0.0,68.0,50.0,692.0,32.0,0.0,0.0,7,1,0.0,255,255,255,1,80.0,80.0,298.0,728.0,34.9,300,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
25,350.0,-14.5,565.6,74.0,90.0,45.0,265.0,74.5,610.7391728894326,40.0,29.200000000000003,36.5,22.0,18.5,15.0,8.0,15.0,25.0,35.0,330.0,350.0,16.0,18.0,0.0,0.0,110.0,2,0.9,1.1,0.9,1.2,1.0,0.9,467.0,25.4,507.0,25.4,467.0,507.0,0.0,68.0,45.0,692.0,31.8,0.0,0.0,0,0,0.0,0,0,0,1,80.0,80.0,240.0,330.0,40.0,100,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
26,395.0,57.0,565.6,74.0,121.7,45.0,530.0,75.0,657.6670606502954,40.0,28.6,36.5,23.35,13.0,15.0,7.0,44.3,34.5,45.6,330.0,350.0,16.0,18.0,0.0,0.0,120.0,2,0.9,1.1,0.9,1.2,1.0,0.9,582.0,23.0,622.0,23.0,582.0,622.0,0.0,68.0,45.0,692.0,31.8,0.0,0.0,0,0,0.0,0,0,0,1,80.0,80.0,298.0,724.0,34.9,330,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
27,407.0,72.2,565.6,73.03453074346996,148.6,25.0,580.0,72.53453074346996,644.1349020060737,40.0,28.200000000000003,19.05,23.35,13.0,15.0,9.0,33.4,22.5,42.9,330.0,350.0,16.0,18.0,0.0,0.0,130.0,2,0.9,1.1,0.9,1.2,1.0,0.9,542.0,23.0,622.0,23.0,542.0,622.0,0.0,68.0,36.0,692.0,31.0,0.0,0.0,0,0,0.0,255,255,255,1,80.0,80.0,275.0,764.0,31.0,300,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
28,425.0,43.0,565.6,70.0,123.6,77.0,520.0,73.0,703.8693533105786,35.0,42.0,44.95,26.5,18.5,15.0,11.2,27.0,62.0,70.0,330.0,350.0,16.0,18.0,0.0,0.0,135.0,2,0.9,1.1,0.9,1.2,1.0,0.9,544.0,42.0,584.0,42.0,544.0,584.0,0.0,100.0,45.0,692.0,35.0,0.0,0.0,9,2,0.0,0,0,0,1,80.0,80.0,278.0,753.0,45.0,400,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
29,425.0,43.0,565.6,70.0,123.6,72.0,520.0,73.0,703.8693533105786,35.0,42.0,44.95,26.5,18.5,15.0,11.2,27.0,62.0,70.0,330.0,350.0,16.0,18.0,0.0,0.0,135.0,2,0.9,1.1,0.9,1.2,1.0,0.9,544.0,42.0,584.0,42.0,544.0,584.0,0.0,100.0,45.0,692.0,35.0,0.0,0.0,9,2,0.0,0,0,0,1,80.0,80.0,278.0,753.0,45.0,400,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
30,539.98,50.0,565.6,40.0,100.1,72.0,450.9,40.0,554.7817601166938,38.1,25.4,34.0,18.75,13.0,14.0,25.0,35.8,50.9,46.3,330.0,350.0,16.0,18.0,0.0,0.0,120.0,2,0.9,1.1,0.9,1.2,1.0,0.9,366.0,44.4,406.0,44.4,366.0,406.0,0.0,68.0,45.0,692.0,28.6,0.0,0.0,0,0,0.0,0,0,0,3,40.0,40.0,278.0,600.0,28.6,270,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
