,SSB_Include,CSB_Include,Material,CS Length,BB Drop,Stack,SS E,ST Angle,BB OD,TT OD,HT OD,DT OD,CS OD,SS OD,ST OD,CS F,HT LX,ST UX,HT UX,HT Angle,HT Length,ST Length,BB Length,Dropout Offset,SSB OD,CSB OD,SSB Offset,CSB Offset,SS Z,SS Thickness,CS Thickness,TT Thickness,BB Thickness,HT Thickness,ST Thickness,DT Thickness,DT Length,Sim 1 Dropout X Disp.,Sim 1 Dropout Y Disp.,Sim 1 Bottom Bracket X Disp.,Sim 1 Bottom Bracket Y Disp.,Sim 2 Bottom Bracket Z Disp.,Sim 3 Bottom Bracket Y Disp.,Sim 3 Bottom Bracket X Rot.,Sim 1 Safety Factor,Sim 3 Safety Factor,Model Mass,batch
21,0,0,Steel,0.44244,0.077,0.5656,0.065,73.0,0.0381,0.027,0.0318,0.034,0.02125,0.0109,0.0286,0.016,0.0434,0.0408,0.0399,71.5,0.2,0.6408,0.068,0.13,0.015848936170212168,0.017758970309539254,0.33,0.35,0.0106,0.001038,0.000638,0.000618,0.003696,0.001211,0.005842,0.002123,0.650507,0.0244,-0.0592,0.0301,-0.0331,0.00225,-0.0121,0.005714285714285716,0.234,0.633,2.8,1_1
24,0,0,Aluminum,0.405,0.073,0.5656,0.077,74.0000202554444,0.04,0.0286,0.05,0.0443,0.0265,0.013,0.032,0.015,0.0591,0.0549,0.0354,72.0,0.1264,0.465,0.068,0.13,0.015848936170212168,0.017758970309539254,0.33,0.35,0.007,0.002752,0.004344,0.000547,0.006354,0.007143,0.000551,0.001138,0.650659,0.05568,-0.1017,0.06628,-0.05109,0.001841,-0.0173,0.0058571428571428654,0.169,0.4941,1.76,3_2
25,0,0,Steel,0.35,-0.0145,0.5656,0.045,74.5,0.04,0.0292,0.045,0.0365,0.022,0.0185,0.0318,0.015,0.035,0.025,0.015,74.0,0.09,0.265,0.068,0.11,0.015848936170212168,0.017758970309539254,0.33,0.35,0.008,0.002086,0.000582,0.00819,0.00071081,0.001363,0.001925,0.003092,0.610739,-0.00257,0.00348,-0.00242,0.00175,0.0011,-0.001515,0.005928571428571428,0.892,0.602,4.7,1_1
26,0,0,Steel,0.395,0.057,0.5656,0.045,75.0,0.04,0.0286,0.045,0.0365,0.02335,0.013,0.0318,0.015,0.0456,0.0345,0.0443,74.0,0.1217,0.53,0.068,0.12,0.015848936170212168,0.017758970309539254,0.33,0.35,0.007,0.002714,0.00114,0.000697,0.00076698,0.000519,0.00069132,0.003663,0.657667,0.016,-0.0295,0.0189,-0.0151,0.00135,-0.0052899999999999996,0.0032857142857142816,0.339,0.831,3.9,1_1
27,0,0,Titanium,0.407,0.0722,0.5656,0.025,72.53453,0.04,0.0282,0.036,0.01905,0.02335,0.013,0.031,0.015,0.0429,0.0225,0.0334,73.03453,0.1486,0.58,0.068,0.13,0.015848936170212168,0.017758970309539254,0.33,0.35,0.009,0.004102,0.000632,0.001769,0.0007763,0.005496,0.001958,0.002268,0.644135,0.0884,-0.174,0.106,-0.0938,0.00827,-0.0337,0.019999999999999976,0.231,0.664,2.07,1_1
28,0,0,Aluminum,0.425,0.043,0.5656,0.077,72.99997971982306,0.035,0.042,0.045,0.04495,0.0265,0.0185,0.035,0.015,0.07,0.062,0.027,70.0,0.1236,0.52,0.1,0.135,0.015848936170212168,0.017758970309539254,0.33,0.35,0.0112,0.000848,0.003939,0.000522,0.001969,0.005562,0.002131,0.00064587,0.703869,-0.023,0.0442,-0.02466,0.02441,0.002521,-0.027235000000000002,0.00892857142857141,0.2208,0.1514,1.72,3_2
29,0,0,Aluminum,0.425,0.043,0.5656,0.072,72.99997971982306,0.035,0.042,0.045,0.04495,0.0265,0.0185,0.035,0.015,0.07,0.062,0.027,70.0,0.1236,0.52,0.1,0.135,0.015848936170212168,0.017758970309539254,0.33,0.35,0.0112,0.002972,0.000915,0.000768,0.004556,0.008238,0.009876,0.004698,0.703869,-0.006179,0.01274,-0.006906,0.006848,0.001989,-0.007548,0.00518571428571428,1.243,1.059,3.51,3_2
32,0,0,Steel,0.4,0.037,0.5656,0.04,74.5,0.0381,0.0254,0.0317,0.034,0.01735,0.0105,0.0286,0.015,0.044,0.044,0.03,73.0,0.1238,0.54,0.068,0.13,0.015848936170212168,0.017758970309539254,0.33,0.35,0.0106,0.000678,0.001789,0.000596,0.009776,0.001982,0.005919,0.001005,0.623444,-0.0126,0.0218,-0.0136,0.0113,0.00228,-0.01105,0.006428571428571426,0.511,0.491,2.43,1_1
33,0,0,Titanium,0.407,0.0797,0.5656,0.025,72.535,0.04,0.0282,0.036,0.01905,0.02335,0.013,0.031,0.015,0.0645,0.021,0.0408,74.035,0.1486,0.58,0.068,0.13,0.015848936170212168,0.017758970309539254,0.33,0.35,0.009,0.001194,0.001504,0.003693,0.007112,0.003108,0.009014,0.004626,0.685306,0.0648,-0.133,0.0777,-0.0736,0.00413,-0.0263,0.009999999999999988,0.426,1.18,2.69,1_1
34,0,0,Aluminum,0.31685,0.013,0.5656,0.045,72.09997761523155,0.04,0.0286,0.045,0.0365,0.02335,0.013,0.0318,0.015,0.0408,0.0251,0.0263,74.0,0.3526,0.4801,0.068,0.135,0.015848936170212168,0.017758970309539254,0.33,0.35,0.009,0.008326,0.000527,0.008945,0.001813,0.005034,0.00697,0.001332,0.514566,-0.0007613,0.003476,-0.001403,0.002422,0.002559,-0.008369,0.008457142857142858,2.081,0.568,2.68,3_2
35,0,0,Steel,0.4,0.037,0.5656,0.04,74.5,0.0381,0.0254,0.0317,0.034,0.01735,0.0105,0.0286,0.015,0.044,0.3,0.03,73.0,0.1238,0.5,0.068,0.12,0.015848936170212168,0.017758970309539254,0.33,0.35,0.0106,0.005374,0.000801,0.001142,0.006149,0.00086726,0.003124,0.001109,0.623444,-0.0102,0.0224,-0.0115,0.00972,0.00294,-0.00895,0.006571428571428575,0.589,0.601,3.04,1_1
36,0,0,Steel,0.44,0.071,0.5656,0.045,74.0,0.04,0.0286,0.045,0.0365,0.02335,0.013,0.035,0.015,0.0513,0.0287,0.027,71.5,0.1459,0.52,0.068,0.13,0.015848936170212168,0.017758970309539254,0.33,0.35,0.007,0.001915,0.00908,0.000684,0.002768,0.00051334,0.005147,0.001264,0.649392,0.0269,-0.0531,0.0319,-0.0273,0.00104,-0.009510000000000001,0.002714285714285715,0.229,0.659,4.9,1_1
37,0,0,Titanium,0.4069,0.07,0.5656,0.03,74.0000202554444,0.04,0.0277,0.038,0.0365,0.02335,0.013,0.035,0.015,0.0494,0.0856,0.0361,74.0,0.1179,0.6156,0.068,0.13,0.015848936170212168,0.017758970309539254,0.33,0.35,0.007,0.001515,0.002128,0.000653,0.006135,0.004219,0.001,0.00075529,0.643209,0.07613,-0.1376,0.08995,-0.06821,0.002778,-0.022795000000000003,0.007214285714285717,0.2955,0.879,1.99,3_1
39,0,0,Steel,0.41,0.067,0.5656,0.045,73.0,0.04,0.0302,0.0317,0.03845,0.0171,0.0105,0.0286,0.015,0.035,0.0287,0.03,73.0,0.1758,0.6187,0.068,0.12,0.015848936170212168,0.017758970309539254,0.33,0.35,0.007,0.001762,0.008987,0.002162,0.002562,0.003893,0.001841,0.005216,0.646206,0.00879,-0.0193,0.0107,-0.0109,0.00103,-0.00402,0.002285714285714282,0.499,1.34,6.43,1_1
40,0,0,Titanium,0.405,0.07,0.5656,0.045,73.5,0.04,0.02695,0.032,0.0365,0.02335,0.013,0.0285,0.015,0.0332,0.0206,0.0302,72.0,0.1,0.5306,0.068,0.13,0.015848936170212168,0.017758970309539254,0.33,0.35,0.007,0.004556,0.002215,0.00106,0.002706,0.002132,0.002248,0.00060961,0.62937,0.074,-0.126,0.0876,-0.0607,0.0031,-0.0203,0.008571428571428568,0.334,1.01,1.84,1_1
41,0,0,Steel,0.405,0.07,0.5656,0.045,74.0,0.04,0.0286,0.045,0.0365,0.02335,0.013,0.0318,0.015,0.0499,0.049,0.034,73.0,0.145,0.515,0.068,0.13,0.015848936170212168,0.017758970309539254,0.33,0.35,0.009,0.000993,0.004948,0.00119,0.00109,0.001166,0.009363,0.0007564,0.653639,0.033,-0.0641,0.0397,-0.0344,0.00122,-0.01235,0.0035714285714285744,0.211,0.522,3.65,1_1
42,0,0,Titanium,0.395,0.06,0.5656,0.045,74.0000202554444,0.04,0.0286,0.045,0.0365,0.028,0.015,0.0349,0.015,0.03,0.035,0.03,73.0,0.1236,0.57,0.068,0.12,0.015848936170212168,0.017758970309539254,0.33,0.35,0.007,0.000557,0.005208,0.000721,0.00074215,0.008665,0.002103,0.001364,0.629888,0.0472,-0.0851,0.05546,-0.04386,0.001238,-0.015425,0.004071428571428554,0.4296,1.113,3.18,3_1
43,0,0,Steel,0.425,0.037,0.5656,0.072,72.5,0.035,0.0405,0.039,0.04495,0.0265,0.017,0.0308,0.015,0.0525,0.062,0.0235,70.0,0.168,0.53,0.1,0.135,0.015848936170212168,0.017758970309539254,0.33,0.35,0.0112,0.001529,0.000572,0.004812,0.001051,0.008053,0.002072,0.00059246,0.704851,-0.0023,0.00544,-0.00261,0.0032,0.00197,-0.00473,0.006857142857142856,0.737,0.58,5.85,1_1
44,0,0,Steel,0.41,0.067,0.5656,0.045,73.5,0.04,0.0302,0.0317,0.03845,0.0171,0.0105,0.0286,0.015,0.035,0.0287,0.05,73.5,0.1656,0.5887,0.068,0.13,0.015848936170212168,0.017758970309539254,0.33,0.35,0.007,0.008053,0.001887,0.007867,0.004592,0.007867,0.00075751,0.00796,0.649318,0.00658,-0.0146,0.00809,-0.008,0.00102,-0.0029,0.0020000000000000018,0.618,1.71,8.83,1_1
46,0,0,Steel,0.36,-0.01,0.5656,0.045,74.0,0.04,0.0286,0.045,0.0365,0.02335,0.019,0.03,0.015,0.0464,0.0341,0.0326,72.5,0.1203,0.2911,0.068,0.13,0.015848936170212168,0.017758970309539254,0.33,0.35,0.009,0.001514,0.00436,0.000517,0.00068328,0.0008749,0.00389,0.004247,0.615855,-0.0037,0.00557,-0.0036,0.00299,0.000643,-0.0030499999999999998,0.002857142857142855,0.983,0.856,4.52,1_1
47,0,0,Steel,0.42,0.074,0.5656,0.04,74.0,0.0381,0.0254,0.0317,0.034,0.01735,0.0105,0.0286,0.015,0.044,0.044,0.03,74.0,0.14,0.54,0.068,0.13,0.015848936170212168,0.017758970309539254,0.33,0.35,0.0106,0.002451,0.000662,0.001537,0.004387,0.001553,0.004765,0.005026,0.643894,0.0144,-0.0288,0.0176,-0.0149,0.00204,-0.005195,0.0036428571428571426,0.356,1.01,4.24,1_1
48,0,0,Titanium,0.56,0.06537,0.5656,0.04,56.97582,0.0381,0.0277,0.0317,0.034,0.0175,0.00525,0.0286,0.015,0.0317,0.04,0.03,53.47582,0.142,0.5,0.068,0.135,0.015848936170212168,0.017758970309539254,0.33,0.35,0.0106,0.000548,0.0006,0.001563,0.009927,0.00065923,0.00092559,0.00090418,0.602132,0.0559,-0.119,0.067,-0.049,0.0106,-0.01455,0.01785714285714287,0.421,1.36,1.29,1_1
49,0,0,Steel,0.405,0.07,0.5656,0.045,74.0,0.04,0.0286,0.045,0.0365,0.02335,0.013,0.0318,0.015,0.0548,0.0509,0.0309,73.0,0.145,0.5169,0.068,0.12,0.015848936170212168,0.017758970309539254,0.33,0.35,0.009,0.000855,0.002175,0.008627,0.00077431,0.002503,0.003514,0.002051,0.656339,0.0127,-0.0248,0.0154,-0.0131,0.00127,-0.00469,0.0032857142857142816,0.41,1.08,5.48,1_1
50,0,0,Steel,0.405,0.07,0.5656,0.045,74.0,0.04,0.0286,0.045,0.0365,0.02335,0.013,0.0318,0.015,0.0499,0.049,0.034,73.0,0.145,0.515,0.068,0.13,0.015848936170212168,0.017758970309539254,0.33,0.35,0.009,0.001372,0.004473,0.002191,0.00466,0.002918,0.004395,0.006937,0.653639,0.009,-0.0176,0.0108,-0.00938,0.000565,-0.003325,0.0016428571428571408,0.504,1.4,7.1,1_1
51,0,0,Steel,0.405,0.07,0.5656,0.045,74.0,0.04,0.0286,0.045,0.0365,0.02335,0.0145,0.0318,0.015,0.052,0.0492,0.0322,76.5,0.145,0.5152,0.068,0.135,0.015848936170212168,0.017758970309539254,0.33,0.35,0.009,0.001422,0.00424,0.001605,0.007361,0.00096782,0.003101,0.002355,0.674499,0.0164,-0.0329,0.0194,-0.0183,0.00074,-0.006580000000000001,0.0022857142857142855,0.331,0.91,4.95,1_1
52,0,0,Aluminum,0.405,0.07,0.5656,0.045,74.0000202554444,0.04,0.0286,0.045,0.0365,0.02335,0.013,0.0318,0.015,0.0499,0.049,0.034,73.0,0.145,0.515,0.068,0.135,0.015848936170212168,0.017758970309539254,0.33,0.35,0.009,0.002963,0.002425,0.001965,0.001218,0.00075917,0.003003,0.001722,0.653639,0.04999,-0.09736,0.0602,-0.05221,0.003453,-0.018725,0.008071428571428589,0.206,0.5776,1.66,3_2
53,0,0,Aluminum,0.405,0.07,0.5656,0.045,74.0000202554444,0.04,0.0286,0.045,0.0365,0.02335,0.013,0.0318,0.015,0.0499,0.049,0.034,73.0,0.145,0.515,0.068,0.13,0.015848936170212168,0.017758970309539254,0.33,0.35,0.009,0.000609,0.000528,0.002466,0.001696,0.00068278,0.0006,0.004708,0.653639,0.03246,-0.06456,0.03966,-0.03401,0.004267,-0.01216,0.008999999999999992,0.2518,0.6385,1.44,3_2
54,0,0,Steel,0.40504,0.07,0.5656,0.045,74.0,0.04,0.0286,0.045,0.0365,0.02335,0.013,0.0318,0.015,0.0499,0.049,0.034,73.0,0.145,0.515,0.068,0.135,0.015848936170212168,0.017758970309539254,0.33,0.35,0.009,0.000906,0.004366,0.002899,0.001138,0.002083,0.001375,0.005632,0.653639,0.00978,-0.0193,0.0119,-0.0102,0.000777,-0.0036750000000000003,0.0019285714285714273,0.454,1.15,6.39,1_1
55,0,0,Steel,0.405,0.07,0.5656,0.045,74.0,0.04,0.0286,0.045,0.0365,0.02335,0.013,0.0318,0.015,0.0499,0.049,0.034,73.0,0.145,0.515,0.068,0.13,0.015848936170212168,0.017758970309539254,0.33,0.35,0.009,0.003769,0.00263,0.003413,0.001226,0.001311,0.001618,0.006073,0.653639,0.00925,-0.0181,0.0112,-0.00965,0.000844,-0.00346,0.0019999999999999987,0.472,1.18,6.62,1_1
56,0,0,Titanium,0.405,0.07,0.5656,0.045,74.0,0.04,0.0286,0.045,0.0365,0.02335,0.013,0.0318,0.015,0.0548,0.0555,0.0309,73.0,0.145,0.5215,0.068,0.135,0.015848936170212168,0.017758970309539254,0.33,0.35,0.009,0.000509,0.000913,0.007861,0.003811,0.003415,0.005615,0.002267,0.656339,0.0233,-0.0454,0.028,-0.024,0.00258,-0.008525000000000001,0.006357142857142858,0.863,2.42,2.94,1_1
58,0,0,Steel,0.36,-0.01,0.5656,0.045,74.0,0.04,0.0286,0.045,0.0365,0.02335,0.019,0.03,0.015,0.0503,0.0339,0.0327,72.5,0.115,0.2909,0.068,0.13,0.015848936170212168,0.017758970309539254,0.33,0.35,0.009,0.001091,0.00345,0.001516,0.001826,0.00543,0.001099,0.001745,0.617439,-0.00535,0.0075,-0.00518,0.00401,0.000702,-0.0039900000000000005,0.0022857142857142855,1.01,1.01,3.93,1_1
59,0,0,Titanium,0.405,0.07,0.5656,0.045,74.0,0.04,0.0267,0.037,0.0365,0.02335,0.013,0.028,0.015,0.0397,0.0353,0.0285,72.0,0.0998,0.5,0.068,0.13,0.015848936170212168,0.017758970309539254,0.33,0.35,0.007,0.000655,0.008526,0.001567,0.004681,0.007196,0.003027,0.00060207,0.634375,0.0636,-0.107,0.0748,-0.0518,0.00218,-0.0172,0.005714285714285729,0.361,1.1,2.61,1_1
60,0,0,Titanium,0.405,0.07,0.5656,0.045,74.0,0.04,0.0267,0.037,0.0365,0.02335,0.013,0.028,0.015,0.0397,0.0353,0.0285,72.0,0.0998,0.5,0.068,0.13,0.015848936170212168,0.017758970309539254,0.33,0.35,0.007,0.005006,0.006927,0.006591,0.002838,0.00065156,0.003089,0.006533,0.634375,0.0161,-0.0273,0.0192,-0.013,0.00118,-0.00432,0.003142857142857138,0.926,2.87,4.64,1_1
61,0,0,Titanium,0.405,0.07,0.5656,0.045,74.0,0.04,0.0267,0.037,0.0365,0.02335,0.013,0.028,0.015,0.0396,0.0352,0.0286,72.0,0.0998,0.5,0.068,0.13,0.015848936170212168,0.017758970309539254,0.33,0.35,0.007,0.000872,0.001459,0.005803,0.005669,0.002172,0.003634,0.009826,0.633134,0.0146,-0.025,0.0174,-0.0118,0.00146,-0.003875,0.0035000000000000027,1.06,3.14,4.03,1_1
62,0,0,Steel,0.445,0.06,0.5656,0.1,73.0,0.03,0.0405,0.046,0.04375,0.0265,0.017,0.0304,0.015,0.04,0.095,0.025,72.0,0.13,0.535,0.1,0.135,0.015848936170212168,0.017758970309539254,0.33,0.35,0.0112,0.000726,0.000727,0.007549,0.007006,0.009197,0.0005533,0.001795,0.740423,0.00767,-0.0171,0.00878,-0.00992,0.00119,-0.00365,0.004142857142857141,0.81,1.75,8.31,1_1
63,0,0,Titanium,0.408,0.07,0.5656,0.045,74.0,0.04,0.0322,0.034,0.0365,0.02335,0.013,0.039,0.015,0.0476,0.049,0.0342,72.0,0.1706,0.567,0.068,0.12,0.015848936170212168,0.017758970309539254,0.33,0.35,0.009,0.002139,0.000572,0.00914,0.003579,0.002738,0.004718,0.001049,0.649558,0.022,-0.0457,0.0263,-0.0255,0.00383,-0.009315,0.007500000000000003,0.741,2.06,3.17,1_1
64,0,0,Steel,0.36,-0.01,0.5656,0.045,74.0,0.04,0.0286,0.045,0.0365,0.02335,0.019,0.03,0.015,0.0454,0.0341,0.0227,71.5,0.1144,0.2911,0.068,0.13,0.015848936170212168,0.017758970309539254,0.33,0.35,0.009,0.005114,0.00397,0.00445,0.001091,0.004297,0.001675,0.00071707,0.616975,-0.00503,0.00679,-0.00485,0.00372,0.00082,-0.004065,0.0029285714285714297,0.942,0.877,5.15,1_1
65,0,0,Titanium,0.405,0.07,0.5656,0.045,74.0000202554444,0.04,0.0291,0.037,0.0365,0.021,0.01665,0.0318,0.015,0.0467,0.0475,0.0328,73.0,0.1277,0.5825,0.068,0.13,0.015848936170212168,0.017758970309539254,0.33,0.35,0.009,0.007635,0.007065,0.000698,0.004981,0.00067041,0.000947,0.001991,0.654201,0.04068,-0.07661,0.04831,-0.03993,0.001854,-0.01387,0.0051428571428571435,0.4859,1.389,3.32,3_1
66,0,0,Aluminum,0.325,0.07,0.5656,0.045,71.99999647998123,0.04,0.0286,0.045,0.0365,0.02335,0.013,0.0318,0.015,0.0494,0.0465,0.0369,72.0,0.0922,0.429,0.068,0.13,0.015848936170212168,0.017758970309539254,0.33,0.35,0.009,0.00282,0.001471,0.000889,0.00992,0.002663,0.002807,0.001367,0.541839,0.02188,-0.02162,0.02571,-0.005989,0.002476,-0.00131115,0.0052978571428571415,0.2611,1.18,1.24,3_2
67,0,0,Aluminum,0.325,0.07,0.5656,0.045,71.99999647998123,0.04,0.0286,0.045,0.0365,0.02335,0.013,0.0318,0.015,0.0494,0.0465,0.0369,72.0,0.0922,0.429,0.068,0.13,0.015848936170212168,0.017758970309539254,0.33,0.35,0.009,0.002584,0.002047,0.001195,0.009332,0.00050792,0.003793,0.00087394,0.541839,0.02369,-0.02326,0.02777,-0.006477,0.00244,-0.001454,0.004985714285714284,0.2665,1.133,1.25,3_2
69,0,0,Aluminum,0.4,0.058,0.5656,0.025,74.49998322747555,0.04,0.0282,0.036,0.01905,0.02335,0.013,0.031,0.015,0.0454,0.0221,0.0349,73.5,0.1107,0.55,0.068,0.12,0.015848936170212168,0.017758970309539254,0.33,0.35,0.009,0.000959,0.000826,0.001558,0.001053,0.002554,0.0011,0.001342,0.648309,0.1552,-0.2679,0.1795,-0.1339,0.01093,-0.046009999999999995,0.025428571428571432,0.09274,0.2729,0.85,3_2
